Rank,Handle,Participations,Rating
2726,ButterflyDew,106,2098
2727,VinstaG173,40,2098
2728,Madeeyuth,31,2098
2729,One_Zzz,31,2098
2730,Turcavid,40,2098
2731,Ivan_Kolosov,29,2098
2732,LMeyling,56,2098
2733,s_h_i_r_u_o_y_u,35,2098
2734,OR_LOVe,21,2098
2735,Dovish,6,2098
2736,sukilyh,9,2098
2737,MZuev,79,2097
2738,bary,164,2097
2739,sdyakonov,151,2097
2740,pnlong2706,24,2097
2741,panospask,29,2097
2742,Ryshi,79,2097
2743,anmattroi,19,2097
2744,arknave,122,2096
2745,SaveVMK,88,2096
2746,DJeniUp,187,2096
2747,KnahG,22,2096
2748,ow3nL,44,2096
2749,smilences,32,2096
2750,quantitative,8,2096
2751,Mint_Victoria,8,2096
2752,urosk,118,2095
2753,Programmers_Hive,64,2095
2754,Weobe,95,2095
2755,Lzy_,42,2095
2756,DeanMenezes93,18,2095
2757,bugmaker3243,27,2094
2758,Harsh_kunwar,73,2094
2759,SadNewYear,13,2094
2760,rfhalb,60,2093
2761,AdhityaMangudy,77,2093
2762,zhoujingchen,15,2093
2763,ywjylx,55,2092
2764,Night,89,2092
2765,decisiveFactor,52,2092
2766,Mr_Ell,87,2092
2767,hswfwkj,12,2092
2768,Roger_yrj,21,2092
2769,ShirayukiNoa,74,2092
2770,kessido,79,2091
2771,LordVoIdebug,112,2091
2772,annyeong1,125,2091
2773,NovusStellachan,78,2091
2774,onbert,24,2091
2775,Dt3DN32PG2,6,2091
2776,triccsr,19,2090
2777,FreeTibet,13,2090
2778,Esomer,95,2090
2779,theSSS,21,2090
2780,crazystory,7,2090
2781,MarcosK,206,2089
2782,Fidisk,112,2089
2783,powervic08,63,2089
2784,Scalm,151,2089
2785,Morley,38,2089
2786,huyhasun,34,2089
2787,NATO,11,2089
2788,pienotpi,84,2089
2789,sherman2022,14,2089
2790,IDSG,16,2089
2791,OctoberEstuary,21,2089
2792,adam.jq.xu,16,2089
2793,goIions,20,2088
2794,samliu12,36,2088
2795,SmilingBraniac,47,2088
2796,JeffLegendPower,55,2088
2797,oqmsac,34,2088
2798,lowbob,48,2087
2799,nguyenphong233,75,2087
2800,ButanlishiHuanwoAC,10,2087
2801,Sunflower233,70,2087
2802,snasibov05,125,2086
2803,category_b,14,2086
2804,puddingway,5,2086
2805,TopazDragon89,17,2086
2806,_Roxy,32,2086
2807,liyujiangwx,5,2086
